"","n_folds","cv_error"
"1",2,123040.53745291
"2",2,151506.928974671
"3",2,126209.114942992
"4",2,129855.710189581
"5",2,127426.308721908
"6",2,123180.382187396
"7",2,118172.769583372
"8",2,119884.542862847
"9",2,129195.842231193
"10",2,116032.126486752
"11",2,116328.057223446
"12",2,125249.43332653
"13",2,120294.987805789
"14",2,130740.052038934
"15",2,117663.631596602
"16",2,126863.336058928
"17",2,131140.753304826
"18",2,120442.001948763
"19",2,123509.580595576
"20",2,129177.43863878
"21",2,127258.588065903
"22",2,133416.095949995
"23",2,131996.837561602
"24",2,138600.135248515
"25",2,140773.56807558
"26",2,133946.803780369
"27",2,120773.318628464
"28",2,130309.561331341
"29",2,116938.420973179
"30",2,124260.299710776
"31",5,122121.849398202
"32",5,121686.177973955
"33",5,114448.902911063
"34",5,113071.145496144
"35",5,117884.986418982
"36",5,121383.322960859
"37",5,120606.677221724
"38",5,119902.674709294
"39",5,114655.84287599
"40",5,122185.370289866
"41",5,118545.969081082
"42",5,119819.874462874
"43",5,119126.231488021
"44",5,117236.045378457
"45",5,119984.819210601
"46",5,117697.536491343
"47",5,120671.532692067
"48",5,124341.377623034
"49",5,117380.267062739
"50",5,121431.994447973
"51",5,118519.171916496
"52",5,117072.476223179
"53",5,115989.258036072
"54",5,117303.099735351
"55",5,116575.395582445
"56",5,123032.70663719
"57",5,122825.934508148
"58",5,115541.142922477
"59",5,125419.44505888
"60",5,115326.160593472
"61",10,116225.360884376
"62",10,116527.960528712
"63",10,121165.154340059
"64",10,118510.67341313
"65",10,114136.101594548
"66",10,117533.153148168
"67",10,120896.659282396
"68",10,118249.675324202
"69",10,116925.271142972
"70",10,118702.771666359
"71",10,117322.962654164
"72",10,112680.872414992
"73",10,121813.243859183
"74",10,112730.076762606
"75",10,119098.237605767
"76",10,117315.464431047
"77",10,121253.693961701
"78",10,118267.207544937
"79",10,120635.196714926
"80",10,122770.20938178
"81",10,122594.333302328
"82",10,119198.609040844
"83",10,123743.604647
"84",10,118797.01954185
"85",10,113167.563646367
"86",10,122671.698942652
"87",10,116589.04892729
"88",10,118873.48457031
"89",10,120524.158712461
"90",10,118448.548735223
